"Reference","Title","Obligation","Requirement","Rationale","Informative Note","Compliance Note","Filters","Complete"
"FF-40203","[FHIR Resource Conformance] Resource File Name ","Recommended","<div>The convention for name of FHIR resource file <b>SHOULD</b> follow the format&#58; <i>[resource-type]-[name]-[version].[file-extension].</i>&#160;&#160;</div><div>Where&#58;&#160;</div><div><ul><li>[resource-type] is the FHIR resource type; and&#160;</li><li>[name] is the value of the resource’s name element; and&#160;&#160;</li><li>[version] is the artefact version&#160;</li><li>[file-extension] is either&#160;</li><ul><li>xml for XML formatted files; or&#160;</li><li>json for JSON formatted files.&#160;</li></ul></ul></div><div>
</div>","<div>This helps maintain consistency while exporting FHIR resources as files and aligns with organisational standards to maintain consistency across teams.&#160;
</div>","<div>The file naming conventions may change based on the tool used to author the content and configuration settings within the IG publisher.&#160;&#160;
</div>",,"[""Resource"",""Convention"",""Recommendation""]","Yes"
"FF-40204","[FHIR Resource Conformance] Resource Title","Mandatory","</div></div><div></div><div>The<i>&#160;title&#160;</i>element of the resource&#160;<b>SHALL&#160;</b>be a&#160;completely&#160;human readable description in&#160;title case, that is grammatically correct, preferably with full expansion of any abbreviations included in the name unless those expansions are foreign to readers.&#160;It may include a suffix in brackets for the variant.&#160;</div><div>&#160;</div><div><div>The resource’s&#160;title&#160;value&#160;<b>SHALL&#160;</b>follow the followings&#58;&#160;</div><ul><li>be a&#160;completely&#160;human readable description in&#160;title case, that is grammatically&#160;correct.&#160;</li><li>preferably with full expansion of any abbreviations included in the name unless those expansions are foreign to&#160;readers.</li><li>It may include a suffix in brackets for the variant.&#160;</li></ul></div><div><div></div></div><div>
","<div>Serves as the human readable headline in generated docs, ensuring that the title is descriptive of what the resource is to aid in understanding and discovery&#160;
</div>","<div>For more information on ‘title case’ refer to the link&#58;&#160;&#160;</div><div><a href=""https&#58;//www.stylemanual.gov.au/blog/sentence-case-title-case-and-titles-works"">Sentence case, title case and the titles of works | Style Manual</a>&#160;</div><div>
</div>",,"[""Resource"",""Convention""]","Yes"
"FF-40205","[FHIR Resource Conformance] Resource Status","Mandatory","<div>The&#160;<i>status</i>&#160;element of the&#160;resource&#160;<b>SHALL</b>&#160;be set to ‘active’ for final publication.&#160;
</div>","<div>This field is used to track the life-cycle status of the resource.
</div>",,,"[""Resource"",""Status""]","Yes"
"FF-40206","[FHIR Resource Conformance] Experimental Resources","Mandatory","<div>The&#160;<i>experimental&#160;</i>element&#160;of the resource&#160;<b>SHALL</b>&#160;be set&#160;to&#160;‘false’ for&#160;specifications.</div>","<div>This Boolean flag specifies whether the resource has been created solely for testing purposes, with no version of the resource intended for actual deployment or production use.&#160;
</div>","<div>Specifications under development and not yet finalised may have the flag as ‘true’ for resources.&#160;&#160;
</div>",,"[""Resource""]","Yes"
"FF-40207","[FHIR Resource Conformance] Resource date ","Mandatory","<div>The&#160;<i>date</i>&#160;element&#160;of the resource&#160;<b>SHALL</b>&#160;include&#160;a value indicating&#160;when the&#160;resource&#160;was&#160;last&#160;changed&#160;using&#160;the format YYYY-DD-MM. The date&#160;<b>SHALL</b>&#160;be synced with the IG publication date.&#160;
</div>","<div>To ensure that implementers have clear visibility of the resource update date when the resource is accessed outside of the IG context.&#160;
</div>",,,"[""Resource"",""Convention""]","Yes"
"FF-40208","[FHIR Resource Conformance] Resource Publisher","Mandatory","<div>The&#160;<i>publisher</i>&#160;element&#160;of the resource&#160;<b>SHALL</b>&#160;use&#160;“Australian Digital Health Agency&quot;.</div>","<div>The&#160;publisher&#160;details&#160;help&#160;implementers&#160;assess the reliability of the information.&#160;<br></div>",,,"[""Resource"",""Convention""]","Yes"
"FF-40209","[FHIR Resource Conformance] Resource Contact","Mandatory","</div></div><div>The <i>contact&#160;</i>element&#160;of the resource&#160;<b>SHALL</b>&#160;include the&#160;following contact details&#160;</div><div><ul><li>contact.name&#160;&#58;&#160;Australian Digital Health Agency&#160;</li><li>contact.telecom&#160;</li><li>system&#160;&#58;&#160;url&#160;</li><li>value&#160;&#58;&#160;https&#58;//www.digitalhealth.gov.au&#160;</li><li>contact.telecom&#160;</li><li>system&#160;&#58;&#160;email&#160;</li><li>value&#160;&#58;&#160;help@digitalhealth.gov.au&#160;<br><a href=""mailto&#58;help@digitalhealth.gov.au"">mailto&#58;help@digitalhealth.gov.au</a>&#160;</li></ul></div><div class=""ExternalClass1A0DC3B3B2644338A7C34E91738B0C50""><div><div></div></div><div>
","<div>The contact information provides a direct and always reliable channels for readers, stakeholders, or users of the resource to reach out to the Agency with questions, feedback, or requests for clarification.&#160;
</div>","<div>FHIR Specification authors may add additional content elements if required.&#160;
</div>",,"[""Resource"",""Convention""]","Yes"
"FF-40210","[FHIR Resource Conformance] Resource Description","Mandatory","<div>The&#160;<i>description</i>&#160;element&#160;of the resource&#160;<b>SHALL</b>&#160;include a&#160;value&#160;which&#160;provides&#160;a&#160;succinct and&#160;contextual&#160;human-readable&#160;description of the&#160;resource.&#160;</div>","<div>The description of the resource gives readers a quick understanding of what the resource is, without needing to dig through technical details.&#160;
</div>",,,"[""Resource"",""Convention""]","Yes"
"FF-40211","[FHIR Resource Conformance] Resource Jurisdiction","Mandatory","<div>Projects within the&#160;agency<b>&#160;SHALL&#160;</b>adopt&#160;<i>UsageContext</i>&#160;for IG publication.&#160;The value for the ‘jurisdiction’&#160;<b>SHALL</b>&#160;be&#160;‘urn&#58;iso&#58;std&#58;iso&#58;3166#AU &quot;Australia&quot;’</div>","<div><ul><li>Using<i>&#160;UsageContext</i>&#160;in the implementation Guide&#160;ensures the&#160;specification&#160;is future-proof.&#160;</li><li>The jurisdiction details of a&#160;resource&#160;ensure&#160;the document aligns&#160;with relevant laws&#160;and regulations of the chosen jurisdiction, which may have unique requirements or&#160;policies.&#160;</li></ul></div><div class=""ExternalClass7455F7233972447BA0429008732CC1CA""><div>
</div></div>","<div>The&#160;<i>jurisdiction</i>&#160;element has been deprecated in FHIR R5 in favour of using&#160;<i>UsageContext</i>.&#160;&#160;
</div>",,"[""Resource"",""Convention""]","Yes"
"FF-40212","[FHIR Resource Conformance] Resource Purpose","Mandatory","<div>The&#160;<i>purpose&#160;</i>element&#160;of the resource<b>&#160;SHALL</b>&#160;provide&#160;a value which&#160;summarises&#160;clear&#160;purpose, including a brief description of the business problem&#160;the resources&#160;aims&#160;to solve.&#160;
</div>","<div>This establishes the resource’s purpose and ensures appropriate expectations are set for its intended use.
</div>",,,"[""Resource""]","Yes"
"FF-40213","[FHIR Resource Conformance] Resource Copyright","Mandatory","<div>The&#160;<i>copyright&#160;</i>element&#160;of the resource&#160;<b>SHALL</b>&#160;provide&#160;with the&#160;appropriate copyright&#160;statement&#160;as the value.&#160;&#160;
</div>","<div>This provides ownership clarity and relevant details around the public use and legal protection of the resource.&#160;
</div>","<div>The copyright element has a datatype of Markdown and thus allows formatting of the copyright statement.&#160;&#160;
</div>",,"[""Resource""]","Yes"
"FF-40214","[FHIR Resource Conformance] Resource Version","Mandatory","</div></div><div>The&#160;version&#160;element&#160;of the resource&#160;<b>SHALL</b>&#160;provide&#160;a value&#160;as per the defined versioning scheme in the specification.&#160;</div><div>The version of the resources<b>&#160;SHALL</b>&#160;meet the following requirements&#58;&#160;</div><div><ul><li><b>Terminology resource versions</b>&#58;&#160;The individual&#160;terminology artefacts&#160;(CodeSystem,&#160;ValueSet,&#160;ConceptMap)&#160;<b>SHALL</b>&#160;maintain their own version&#160;number which could be different than the IG version.&#160;</li><li><b>Other&#160;resource&#160;version&#58;&#160;</b>The version of the IG&#160;<b>SHALL</b>&#160;be defaulted to all&#160;these&#160;non-terminology resources.&#160;</li></ul></div><div class=""ExternalClassC82312245B894FCCBE8AD6A2E1076D89""><div><div></div></div><div>
","<div>Versioning enables a clear, auditable history of specification changes, ensuring that implementers know which version they are using and whether updates are available.&#160;
</div>","<div>Use case specific resources always uses the IG version number.&#160;</div><div>
</div><div>
</div>",,"[""Resource"",""Convention"",""Terminology"",""Value Set"",""Concept Map"",""Code System"",""Version""]","Yes"
"FF-40215","[FHIR Resource Conformance] Resource Change History","Mandatory","<div>Any&#160;changes&#160;to&#160;the IG artefacts&#160;<b>SHALL&#160;</b>be&#160;manually&#160;documented&#160;on a single page&#160;as&#160;a&#160;human readable&#160;change history&#160;within the Implementation Guide.&#160;
</div>","<div>The&#160;change history allows&#160;implementers&#160;to trace specific changes back to their&#160;implementation, which is crucial for auditing, compliance, and&#160;increases transparency.&#160;</div><div><div><br></div></div><div class=""ExternalClass5873AD8217314C76866C47380A8375A8""><div>
</div></div>","<div><ul><li>The change log details provided in the IG are created following the minimal log pattern and styles used in AU Core and AU Base.&#160;&#160;&#160;</li><li>Providing reference to any ticket number is optional.&#160;</li><li>Where applicable, link to change history of the IG artefacts can be generated using the HL7 provided Implementation Guide tool&#160;</li></ul></div><div>
</div>",,"[""Resource"",""Traceability""]","Yes"
"FF-40301","[FHIR ImplementationGuide] Resource Id","Mandatory","<div>The<i>&#160;resource Id</i>&#160;(logical identifier) of the Implementation Guide resource&#160;<b>SHALL</b>&#160;follow the format&#58;&#160;&#160;</div><div>au.gov.digitalhealth.fhir.[short-name]&#160;</div><div>Where&#58;&#160;</div><div>[short-name]&#160;is the abbreviated name of the Implementation Guide.&#160;</div><div>
</div>","<div>Consistent format of Resource Id&#160;makes&#160;the IG resource&#160;portable across environments (development, staging, production)&#160;provides a&#160;consistent&#160;way to form package-id for the implementation guide.&#160;<br></div>","<div><ul><li>The resource id will be used as the package id of the IG and will be registered in the Agency&#160;FHIR&#160;package registry.&#160;</li><li>The&#160;Resource id must be unique across implementation guides published&#160;by the&#160;Agency.&#160;</li><li>Resource id&#160;doesn’t need&#160;to include the version of the&#160;FHIR used.&#160;</li></ul></div><div><br></div>",,"[""Implementation Guide"",""Resource""]","Yes"
"FF-40302","[FHIR ImplementationGuide] Resource Url","Mandatory","<div>The <i>url</i> element <b>SHALL</b> be populated using a globally unique URI, structured in the following format&#58;&#160;</div><div>[base]/ImplementationGuide/[package-id]&#160;</div><div>&#160;</div><div>Where&#58;&#160;</div><div><ul><li>[base] is the canonical base URI of the resource&#160;</li><li>The [package-id] is the id element of the ImplementationGuide resource.&#160;</li></ul></div><div style=""font-family&#58;Calibri, Arial, Helvetica, sans-serif;font-size&#58;11pt;color&#58;rgb(50, 49, 48);background-color&#58;transparent;"">
</div>","<div>A globally unique URI&#160;for the Implementation Guide&#160;ensures consistency and alignment with the&#160;FHIR&#160;IG publication&#160;guidelines.&#160;<br></div>",,,"[""Implementation Guide"",""Resource"",""Convention"",""Canonical""]","Yes"
"FF-40303","[FHIR ImplementationGuide] Resource Name","Mandatory","<div>The [name] of the IG<b>&#160;SHALL</b> follow the format&#58; [ig]_ImplementationGuide&#160;</div><div>Where&#58;&#160;</div><div><ul><li>[ig]&#58; Represents short name specific to the FHIR Implementation Guide. Example&#58; Use “PCA” as the prefix for Provider Connect Australia specific IG.&#160;</li></ul></div><div>
</div>","<div>A consistent naming pattern improves&#160;readability and&#160;interoperability.&#160;<br></div>",,,"[""Implementation Guide"",""Resource"",""Convention""]","Yes"
"FF-40304","[FHIR ImplementationGuide] Resource Packaging","Mandatory","<div>ImplementationGuides <b>SHALL</b> be packaged and published in the following ways&#58;&#160;</div><div><ul><li>Use Case IG&#58; All IG’s built based on any specific user case SHALL be packaged separately.&#160;&#160;</li><li>Extension IG&#58; All extensions used in various IGs SHALL be packaged and published as a dedicated extension IG pack. The extensions are referenced from various use case specific IGs.&#160;</li><li>Terminology IG&#58; The terminology artefacts which are not published as part of the Use Case specific IGs but deployed in NCTS server, SHALL be published within the Terminology IG.&#160;</li></ul></div><div>
</div>","<div>Establishing a clear and logical delineation of artefacts across respective IGs facilitates improved maintainability, streamlined packaging, and efficient publication.&#160;<br></div>","<div><div><br></div></div><div><br></div>",,"[""Implementation Guide"",""Resource"",""Terminology""]","Yes"
"FF-40305","[FHIR ImplementationGuide] Resource Version","Mandatory","<div>The version of the IG<b> SHALL</b> follow the following guidelines&#58;&#160;</div><div><ul><li><b>Terminology IG</b>&#58; For terminology specific IG containing CodeSystem, ValueSet and ConceptMap SALL follow the <a href=""https&#58;//terminology.hl7.org/5.0.0/index.html"">HL7 THO</a> approach in which a 3-part release version identifier, in the format of MAJOR.MINOR.BUILD is used.&#160;&#160;</li><ul><li><b>MAJOR&#58; </b>Major number indicates a new major release which may include breaking changes or substantial layout or formatting changes.&#160;&#160;&#160;</li><li><b>MINOR&#58;</b> For all non-breaking changes which is a snapshot of the current build&#160;</li><li><b>BUILD&#58; </b>Always fixed as ‘0’ (zero).&#160;</li></ul><li><b>Use Case IG&#58;</b>&#160; All other conformant artefacts (e.g. ImplementationGuide, StructureDefinition, StructureMap etc) that are associated to the use case specific IG, <b>SHALL</b> follow the <a href=""https&#58;//semver.org/spec/v2.0.0.html"">Semantic Versioning</a> scheme where the standard MAJOR.MINOR.PATCH (x.y.z) format is used for FHIR specification artifacts. &#160;</li><ul><li><b>MAJOR&#58;</b> This represents the year the artefact was released, in 'YY' format.&#160;&#160;&#160;</li><li><b>MINOR</b>&#58; For all changes, both breaking and non-breaking changes. </li><li><b>PATCH&#58;</b> Always fixed as ‘0’ (zero). .&#160;</li></ul><li><b>Version Change Rule</b>&#58; The following rules <b>SHALL</b> be followed for incrementing the version number for non-terminology resources. &#160;</li><ul><li><b>Non-substantive changes&#58;</b> Minor updates to metadata (like the author's name) don't require a version change. &#160;</li><li><b>Strict changes&#58;</b> Any alteration to an artifact requires a version increment of the ‘y’ value in the ‘x.y.z’ scheme as mentioned above.</li></ul></ul></div><div style=""font-family&#58;Calibri, Arial, Helvetica, sans-serif;font-size&#58;11pt;color&#58;rgb(50, 49, 48);background-color&#58;transparent;"">
</div>","<div>IG&#160;versioning is critical for ensuring traceability, consistency, and control in&#160;the IG&#160;content,&#160;implementation, and&#160;relevant&#160;documentation management.&#160;<br></div>",,,"[""Implementation Guide"",""Traceability"",""Convention"",""Version""]","Yes"
"FF-40306","[FHIR ImplementationGuide] Specification Extensibility","Mandatory","<div></div></div><div>Implementation Guides&#160;<b>SHALL</b>&#160;explicitly&#160;state whether they are&#160;an&#160;extensible&#160;(open)&#160;specification&#160;or&#160;not&#160;(closed).</div><div class=""ExternalClass6373D314F8C54DB19E8A3D71345CC48F""><div style=""font-family&#58;Calibri, Arial, Helvetica, sans-serif;font-size&#58;11pt;color&#58;rgb(0, 0, 0);background-color&#58;transparent;""><br></div>","</div></div><div>Without clarity on whether a specification&#160;is&#160;extensible, adopters of the specification may&#160;make an incorrect assumption leading to&#160;unpredictable&#160;and difficult to manage outcomes.&#160;</div><div><br></div><div class=""ExternalClass42380C2231F1428FAD19C9747BB92BCB""><div style=""font-family&#58;Calibri, Arial, Helvetica, sans-serif;font-size&#58;11pt;color&#58;rgb(0, 0, 0);background-color&#58;transparent;""><br>","<div>The following points describe&#160;extensible and non-extensible&#160;specifications in this context&#58;</div><div><ul><li>Extensible or open&#160;specifications are those which allow&#160;adopters of the specification&#160;to extend the specifications&#160;beyond what is&#160;defined in the&#160;original&#160;specification&#160;and&#160;remaining&#160;conformant with the original specification.&#160;Examples include&#160;additional&#160;data elements in profiles,&#160;additional&#160;APIs&#160;operations (or operation parameters), and&#160;additional&#160;actor behaviours.&#160;</li><li>Non-extensible or closed specifications are those which&#160;forbid adopters from&#160;extending the&#160;original&#160;specification&#160;and&#160;remaining&#160;conformant&#160;with the&#160;original specification.&#160;&#160;</li></ul></div><div class=""ExternalClassE739E865647C4025B7BC03EE624053BE""><div style=""font-family&#58;Calibri, Arial, Helvetica, sans-serif;font-size&#58;11pt;color&#58;rgb(0, 0, 0);background-color&#58;transparent;""><span style=""margin&#58;0px;text-decoration&#58;underline;font-family&#58;&quot;Segoe UI&quot;, &quot;Segoe UI Web&quot;, Arial, Verdana, sans-serif;font-size&#58;12px;text-align&#58;left;background-color&#58;rgb(255, 255, 255);color&#58;rgb(136, 23, 152);""><span lang=""EN-AU"" style=""margin&#58;0px;font-size&#58;11pt;line-height&#58;19.2px;font-family&#58;Arial, Arial_EmbeddedFont, Arial_MSFontService, sans-serif;""><span style=""margin&#58;0px;""><div style=""margin-top&#58;14.6667px;margin-bottom&#58;14.6667px;""><br></div></span></span></span><br></div></div>",,"[""Implementation Guide"",""Extension""]","Yes"
"FF-40307","[FHIR ImplementationGuide] Extensible Specifications","Mandatory","<div>Extensible&#160;Implementation Guides&#160;<b>SHALL</b>&#160;explicitly&#160;state&#160;the&#160;rules and&#160;conditions for extensibility.&#160;<br></div>","<div>Most open specifications will have limitations on the extent to which adopters can extend the specification. For&#160;example,&#160;the use of modifier&#160;FHIR&#160;extensions&#160;may be undesirable.&#160;It may also be desirable for&#160;FHIR extensions from trusted sources to be adopted.&#160;<br></div>",,,"[""Implementation Guide"",""Extension""]","Yes"
"FF-40401","[FHIR StructureDefinition (Extension)] Resource Url","Mandatory","<div>The <i>url </i>element <b>SHALL</b> be populated using a globally unique URI, structured in the following format&#58;&#160;</div><div>[base]/StructureDefinition/[name]&#160;</div><div>Where&#58;&#160;</div><div><ul><li>[base] is the canonical base URI of the resource&#160;</li><li>The [name] is the value of the name element of the extension.&#160;</li></ul></div><div style=""font-family&#58;Calibri, Arial, Helvetica, sans-serif;font-size&#58;11pt;color&#58;rgb(50, 49, 48);background-color&#58;transparent;"">
</div>","<div>A globally unique URI&#160;for the&#160;agency defined extensions&#160;ensures consistency and alignment with the&#160;FHIR IG publication guidelines.&#160;<br></div>",,,"[""Structure Definition"",""Extension"",""Convention""]","Yes"
"FF-40402","[FHIR StructureDefinition (Extension)] Resource Name","Mandatory","<div>The [name] of the extension <b>SHALL </b>follow the format&#58; [ig (optional)]_[element-name(optional)]_[&lt;use-case&gt;]&#160;</div><div>Where&#58;&#160;</div><div><ul><li>[ig]&#58; Represents short name specific to the FHIR Implementation Guide. Example&#58; Use “MHR” as the prefix for all My Health Record specific extensions.&#160;</li><li>[&lt;element-name &gt;]&#58; name of the element in the FHIR resource.&#160;</li><li>[&lt;use case&gt;]&#58; describes the functional context of the extension. This could be individual words separated by ‘_‘&#160;</li><ul><li>can be two or three and less than five words&#160;</li><li>may contain common use abbreviations or acronyms&#160;</li></ul></ul></div><div style=""font-family&#58;Calibri, Arial, Helvetica, sans-serif;font-size&#58;11pt;color&#58;rgb(50, 49, 48);background-color&#58;transparent;"">
</div>","<div>A consistent naming pattern for agency defined extensions promotes improved readability and interoperability.&#160;<br></div>",,,"[""Structure Definition"",""Extension"",""Convention""]","Yes"
"FF-40501","[FHIR StructureDefinition (Profile)] Resource Url","Mandatory","<div>The url element <b>SHALL </b>be populated using a globally unique URI, structured in the following format&#58;&#160;</div><div>[base]/StructureDefinition/[name]&#160;</div><div>Where&#58;&#160;</div><div><ul><li>[base] is the canonical base URI of the resource&#160;</li><li>The [name] is the value of the name element of the extension.&#160;</li></ul></div><div>
</div>","<div>A globally unique URI&#160;for the agency defined custom profiles&#160;ensures consistency and alignment with the&#160;FHIR IG publication guidelines.&#160;<br></div>",,,"[""Structure Definition"",""Profile"",""Convention""]","Yes"
